a1,a2,a3,g1,g2,g3
13784,7492,5500,-44,28,-43
14060,7264,5444,-322,-521,208
14020,7324,5572,-338,-492,185
14076,7116,5516,-321,-379,221
14184,7344,5648,-755,-240,373
14292,7248,5492,-447,-349,241
14220,7256,5708,-315,-465,139
14204,7176,5864,-252,158,386
12036,13664,6688,-5127,2948,1736
13736,7324,5784,-236,-385,172
13772,7420,5924,-293,-330,124
13944,-184,-9012,14767,2905,-7890
10716,-3364,-14516,1440,6265,-5026
9284,12256,2628,-2268,15170,-22422
14528,3472,-4464,2860,-9898,17274
12252,12628,3888,3875,1441,629
7924,6524,2740,-12011,22910,-27341
10364,13256,6740,-10582,18686,-16611
10700,16296,-728,13814,-5501,13019
12660,5340,-8520,-10017,11482,-13064
11792,9696,-4112,12703,-9870,12577
9952,15228,5248,-10353,5293,-5154
13096,960,-18244,6337,-7117,8930
9476,12328,-2796,-1926,-354,-1804
5048,13976,6200,2470,2645,-1954
5656,14080,6608,-452,-495,223
5748,13904,6832,-358,-424,173
5728,13820,6776,-387,-416,175
5728,13732,6868,-359,-413,167
5844,13688,6824,-309,-374,137
5872,13668,6888,-333,-407,155
5952,13800,6912,-330,-328,148
5984,13728,6856,-311,-332,137
6044,13736,6860,-349,-371,156
6008,13760,6952,-364,-352,180
5960,13660,6932,-317,-335,152
