a1,a2,a3,g1,g2,g3
-380,-3256,-16280,1585,1921,78
-20,-3156,-16028,-4521,-3469,-163
-804,-344,-16928,-7122,2995,2165
1560,-32768,21056,14263,32767,32767
-1752,-5668,-10484,567,2680,12906
-640,-1224,-15668,16194,14246,1383
-2240,-3100,-15556,-632,-6677,552
-2148,-1552,-16224,2152,-1828,2372
-2432,-1880,-16688,-588,206,165
-1952,-2584,-16412,358,-1339,-4028
-2792,-2132,-16380,-645,-906,643
-3296,-2788,-15944,-120,-224,489
-2780,-2568,-16132,-519,84,864
-2684,-2452,-16460,-468,-559,-407
-2912,-2428,-16800,288,-434,866
-3108,-2856,-15348,-542,-818,-6820
-2380,-4460,-15296,4549,-259,-4598
-1456,-4608,-16580,-1850,3253,3687
188,-2928,-16816,1454,-2200,1341
-2120,-3812,-15752,-209,4842,522
-1212,-2792,-16212,364,1083,-886
-1208,-2580,-15848,-1807,-2067,-332
-1468,-1756,-16516,-145,-961,282
-2256,-1844,-15304,1199,-633,3487
-1888,-2352,-16356,-222,-616,346
-1540,-1584,-16760,-1544,253,386
-1496,-1680,-16852,-460,-474,1289
-1096,-1916,-17136,-688,-21,288
-980,-1876,-16748,-439,339,-354
980,-1660,-16788,-2997,3507,-1127
1980,-2028,-17964,-4087,245,1575
-1432,-128,-17012,-6573,-7546,10574
-308,2216,-15472,-8661,-722,-2403
3248,2576,-16356,-2878,2550,-1913
4052,3124,-16404,-2088,165,870
4432,4176,-15492,-1283,-908,295
4516,3972,-16020,963,-404,10
4448,3352,-16320,-445,-547,-114
920,5712,-15256,-1098,-3712,-4126
-1952,-352,-18756,13780,-11349,-7751
-5212,-1016,-9940,1483,-3014,-8252
-8328,-11676,-15864,-3139,-13583,-128
-5940,-15828,-23964,-17898,-11793,15828
-4092,-7292,-16352,-1786,-1050,1365
-3664,-8400,-13948,949,1261,-1680
-5156,-6940,-16484,-4485,-1923,3360
-7040,-780,-14776,3348,4293,-469
-924,-4812,-14572,-7581,-1488,3779
-11928,-9368,-25412,-4063,-9986,-2771
-7656,-4460,-12636,25840,2302,-16020
-1304,-9608,-13552,2146,2040,-1405
-104,-10360,-12884,-181,-212,98
-228,-10412,-13056,-405,-335,177
-76,-10368,-13084,-327,-342,164
-28,-10304,-12628,-399,-425,246
-124,-10312,-13172,-445,-357,196
-148,-10296,-13300,-367,-353,158
-84,-10128,-13372,-345,-358,158
-204,-10192,-13228,-341,-325,163
-240,-10328,-13244,-435,-392,204
-276,-10172,-13260,-319,-385,212
-240,-10112,-13428,-287,-344,219
-3568,-4560,-15988,-7239,-1022,2266
-3892,-3140,-16056,-2291,-521,745
-3956,-3116,-16080,-1414,96,793
-4008,-1848,-15952,-358,-392,206
